gene,Uniprot entry,Protein.names,Aliases,localization,cells,cells.1,cells.2,cells.3,cells.4,cells.5,cells.6,cells.7,cells.8,cells.9,cells.10,cells.11,cells.12,cells.13,cells.14,cells.15,cells.16
ITGA6,P23229,Integrin alpha-6 (CD49 antigen-like family member F) (VLA-6) (CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha-6 (Alpha6p)],ITGA6 CD49F,extracellular,platelet,megakaryocyte,epithelial,,,,,,,,,,,,,,
ITGAE,P38570,Integrin alpha-E (HML-1 antigen) (Integrin alpha-IEL) (Mucosal lymphocyte 1 antigen) (CD antigen CD103) [Cleaved into: Integrin alpha-E light chain; Integrin alpha-E heavy chain],ITGAE CD103,extracellular,Marginal Zone B,Treg,ILC1,,,,,,,,,,,,,,
ITGAL,P20701,Integrin alpha-L (CD11 antigen-like family member A) (Leukocyte adhesion glycoprotein LFA-1 alpha chain) (LFA-1A) (Leukocyte function-associated molecule 1 alpha chain) (CD antigen CD11a),ITGAL CD11A CD11A,extracellular,basophil,,,,,,,,,,,,,,,,
ITGAM,P11215,Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (Neutrophil adherence receptor) (CD antigen CD11b),ITGAM CD11B CR3A CD11B,extracellular,monocytic MDSC,PMN MDSC,nonclassical monocyte,intermediate monocyte,classical monocyte,macrophage,eosinophil,classical DC,inflammatory DC,dermal DC,macrophage pan,NK,,,,,
ITGAV,P06756,Integrin alpha-V (Vitronectin receptor) (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain],ITGAV MSK8 VNRA VTNR CD51,extracellular,platelet,megakaryocyte,erythrocyte,,,,,,,,,,,,,,
ITGAX,P20702,"Integrin alpha-X (CD11 antigen-like family member C) (Leu M5) (Leukocyte adhesion glycoprotein p150,95 alpha chain) (Leukocyte adhesion receptor p150,95) (CD antigen CD11c)",ITGAX CD11C CD11C,extracellular,classical DC,basophil,macrophage,classical DC,,,,,,,,,,,,,
ITGB1,P05556,Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29),ITGB1 FNRB MDF2 MSK12 CD29,extracellular,fibroblast,,,,,,,,,,,,,,,,
ITGB2,P05107,"Integrin beta-2 (Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta) (Complement receptor C3 subunit beta) (CD antigen CD18)",ITGB2 CD18 MFI7 CD18,extracellular,neutrophil,,,,,,,,,,,,,,,,
ITGB3,P05106,Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61),ITGB3 GP3A CD61,extracellular,megakaryocyte,platelet,platelet,erythrocyte,endothelial cells,,,,,,,,,,,,
ITGB4,P16144,Integrin beta-4 (GP150) (CD antigen CD104),ITGB4 CD104,extracellular,epithelial,,,,,,,,,,,,,,,,
KDR,P35968,Vascular endothelial growth factor receptor 2 (VEGFR-2) (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor) (KDR) (Protein-tyrosine kinase receptor flk-1) (CD antigen CD309),KDR FLK1 VEGFR2 CD309,extracellular,endothelial cells,,,,,,,,,,,,,,,,
KIR2DL3,P43628,Killer cell immunoglobulin-like receptor 2DL3 (CD158 antigen-like family member B2) (KIR-023GB) (Killer inhibitory receptor cl 2-3) (MHC class I NK cell receptor) (NKAT2a) (NKAT2b) (Natural killer-associated transcript 2) (NKAT-2) (p58 natural killer cell receptor clone CL-6) (p58 NK receptor CL-6) (p58.2 MHC class-I-specific NK receptor) (CD antigen CD158b2),KIR2DL3 CD158B2 KIRCL23 NKAT2 CD158,extracellular,NK,,,,,,,,,,,,,,,,
KIR3DL1,P43629,Killer cell immunoglobulin-like receptor 3DL1 (CD158 antigen-like family member E) (HLA-BW4-specific inhibitory NK cell receptor) (MHC class I NK cell receptor) (Natural killer-associated transcript 3) (NKAT-3) (p70 natural killer cell receptor clones CL-2/CL-11) (p70 NK receptor CL-2/CL-11) (CD antigen CD158e),KIR3DL1 CD158E NKAT3 NKB1 KIR,extracellular,NK,,,,,,,,,,,,,,,,
KIT,P10721,Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117),KIT SCFR CD117,extracellular,mast cell,ILC2,NCR+ ILC3,NCR-ILC3,LTI,stem cells,mast cell,CLP,ILC2,ILC3,LTI,,,,,,
KLRB1,Q12918,Killer cell lectin-like receptor subfamily B member 1 (C-type lectin domain family 5 member B) (HNKR-P1a) (NKR-P1A) (Natural killer cell surface protein P1A) (CD antigen CD161),KLRB1 CLEC5B NKRP1A CD161,extracellular,ILC1,ILC2,LTI,Th17,NK,,,,,,,,,,,,
KLRC1,P26715,NKG2-A/NKG2-B type II integral membrane protein (CD159 antigen-like family member A) (NK cell receptor A) (NKG2-A/B-activating NK receptor) (CD antigen CD159a),KLRC1 NKG2A NKG2A,extracellular,NK,,,,,,,,,,,,,,,,
KLRD1,Q13241,Natural killer cells antigen CD94 (KP43) (Killer cell lectin-like receptor subfamily D member 1) (NK cell receptor) (CD antigen CD94),KLRD1 CD94 CD94,extracellular,NK,Th1,,,,,,,,,,,,,,,
KLRF1,Q9NZS2,Killer cell lectin-like receptor subfamily F member 1 (Lectin-like receptor F1) (Activating coreceptor NKp80) (C-type lectin domain family 5 member C),KLRF1 CLEC5C ML NKP80,extracellular,NK,,,,,,,,,,,,,,,,
KLRK1,P26718,NKG2-D type II integral membrane protein (Killer cell lectin-like receptor subfamily K member 1) (NK cell receptor D) (NKG2-D-activating NK receptor) (CD antigen CD314),KLRK1 D12S2489E NKG2D NKG2D,extracellular,NK,yd T ,,,,,,,,,,,,,,,
L1CAM,P32004,Neural cell adhesion molecule L1 (N-CAM-L1) (NCAM-L1) (CD antigen CD171),L1CAM CAML1 MIC5 CD171,extracellular,neuron,,,,,,,,,,,,,,,,
LAG3,P18627,Lymphocyte activation gene 3 protein (LAG-3) (CD antigen CD223) [Cleaved into: Secreted lymphocyte activation gene 3 protein (sLAG-3)],LAG3 FDC CD223,extracellular,effector CD8 T,,,,,,,,,,,,,,,,
LAMP1,P11279,Lysosome-associated membrane glycoprotein 1 (LAMP-1) (Lysosome-associated membrane protein 1) (CD107 antigen-like family member A) (CD antigen CD107a),LAMP1 CD107A,extracellular,yd T ,platelet,,,,,,,,,,,,,,,
LAMP2,P13473,Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (LGP-96) (CD antigen CD107b),LAMP2 CD107B,extracellular,macrophage,platelet,,,,,,,,,,,,,,,
LGALS3,P17931,Galectin-3 (Gal-3) (35 kDa lectin) (Carbohydrate-binding protein 35) (CBP 35) (Galactose-specific lectin 3) (Galactoside-binding protein) (GALBP) (IgE-binding protein) (L-31) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen),LGALS3 MAC2 GALECTIN3,extracellular,macrophage,astrocyte,,,,,,,,,,,,,,,
LILRB1,Q8NHL6,Leukocyte immunoglobulin-like receptor subfamily B member 1 (LIR-1) (Leukocyte immunoglobulin-like receptor 1) (CD85 antigen-like family member J) (Immunoglobulin-like transcript 2) (ILT-2) (Monocyte/macrophage immunoglobulin-like receptor 7) (MIR-7) (CD antigen CD85j),LILRB1 ILT2 LIR1 MIR7 CD85G,extracellular,pDC,,,,,,,,,,,,,,,,
LILRB1,Q8NHL6,Leukocyte immunoglobulin-like receptor subfamily B member 1 (LIR-1) (Leukocyte immunoglobulin-like receptor 1) (CD85 antigen-like family member J) (Immunoglobulin-like transcript 2) (ILT-2) (Monocyte/macrophage immunoglobulin-like receptor 7) (MIR-7) (CD antigen CD85j),LILRB1 ILT2 LIR1 MIR7 CD85,extracellular,macrophage pan,,,,,,,,,,,,,,,,
LILRB4,Q8NHJ6,Leukocyte immunoglobulin-like receptor subfamily B member 4 (CD85 antigen-like family member K) (Immunoglobulin-like transcript 3) (ILT-3) (Leukocyte immunoglobulin-like receptor 5) (LIR-5) (Monocyte inhibitory receptor HM18) (CD antigen CD85k),LILRB4 ILT3 LIR5 ILT3,extracellular,macrophage,,,,,,,,,,,,,,,,
LRP1,Q07954,Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)],LRP1 A2MR APR CD91,extracellular,fibroblast,,,,,,,,,,,,,,,,
LTF,P02788,Lactotransferrin (Lactoferrin) (EC 3.4.21.-) (Growth-inhibiting protein 12) (Talalactoferrin) [Cleaved into: Lactoferricin-H (Lfcin-H); Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C],LTF GIG12 LF LACTOFERRIN,secreted,neutrophil,,,,,,,,,,,,,,,,
LY75,O60449,Lymphocyte antigen 75 (Ly-75) (C-type lectin domain family 13 member B) (DEC-205) (gp200-MR6) (CD antigen CD205),LY75 CD205 CLEC13B CD205,extracellular,classical DC,,,,,,,,,,,,,,,,
MCAM,P43121,Cell surface glycoprotein MUC18 (Cell surface glycoprotein P1H12) (Melanoma cell adhesion molecule) (Melanoma-associated antigen A32) (Melanoma-associated antigen MUC18) (S-endo 1 endothelial-associated antigen) (CD antigen CD146),MCAM MUC18 CD146,extracellular,endothelial cells,,,,,,,,,,,,,,,,
MERTK,Q12866,Tyrosine-protein kinase Mer (EC 2.7.10.1) (Proto-oncogene c-Mer) (Receptor tyrosine kinase MerTK),MERTK MER MER,extracellular,M1,,,,,,,,,,,,,,,,
MME,P08473,Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10),MME EPN CD10,extracellular,CLP,memory B,follicular Th,neutrophil,fibroblast,,,,,,,,,,,,
MPL,P40238,Thrombopoietin receptor (TPO-R) (Myeloproliferative leukemia protein) (Proto-oncogene c-Mpl) (CD antigen CD110),MPL TPOR CD110,extracellular,megakaryocyte,platelet,CLP,,,,,,,,,,,,,,
MPO,P05164,Myeloperoxidase (MPO) (EC 1.11.2.2) [Cleaved into: Myeloperoxidase; 89 kDa myeloperoxidase; 84 kDa myeloperoxidase; Myeloperoxidase light chain; Myeloperoxidase heavy chain],MPO MYELOPEROXIDASE,intracellular,neutrophil,,,,,,,,,,,,,,,,
MRC1,P22897,Macrophage mannose receptor 1 (MMR) (C-type lectin domain family 13 member D) (C-type lectin domain family 13 member D-like) (Human mannose receptor) (hMR) (Macrophage mannose receptor 1-like protein 1) (CD antigen CD206),MRC1 CLEC13D CLEC13DL MRC1L1 CD206,extracellular,inflammatory DC,M2a,M2c,m2a microglia,m2c microglia,classical DC,tissue associated Mac,,,,,,,,,,
MS4A1,P11836,B-lymphocyte antigen CD20 (B-lymphocyte surface antigen B1) (Bp35) (Leukocyte surface antigen Leu-16) (Membrane-spanning 4-domains subfamily A member 1) (CD antigen CD20),MS4A1 CD20 CD20,extracellular,follicular B,Marginal Zone B,memory B,regulatory B,,,,,,,,,,,,,
MS4A2,Q01362,High affinity immunoglobulin epsilon receptor subunit beta (FcERI) (Fc epsilon receptor I beta-chain) (IgE Fc receptor subunit beta) (Membrane-spanning 4-domains subfamily A member 2),MS4A2 APY FCER1B IGER FCERI,extracellular,M2a,mast cell,inflammatory DC,basophil,mast cell,eosinophil,,,,,,,,,,,
MSR1,P21757,Macrophage scavenger receptor types I and II (Macrophage acetylated LDL receptor I and II) (Scavenger receptor class A member 1) (CD antigen CD204),MSR1 SCARA1 CD204,extracellular,M2,,,,,,,,,,,,,,,,
MT-CO2,P00403,Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II),MT-CO2 COII COX2 COXII MTCO2 COX2,intracellular,M1,M2b,m1 microglia,m2b microglia,,,,,,,,,,,,,
MYB,P10242,Transcriptional activator Myb (Proto-oncogene c-Myb),MYB CMYB,intracellular,CLP,,,,,,,,,,,,,,,,
NCAM1,P13591,Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56),NCAM1 NCAM CD56,extracellular,NK,NCR+ ILC3,ILC1,NKT,yd T ,,,,,,,,,,,,
NCR1,O76036,Natural cytotoxicity triggering receptor 1 (Lymphocyte antigen 94 homolog) (NK cell-activating receptor) (Natural killer cell p46-related protein) (NK-p46) (NKp46) (hNKp46) (CD antigen CD335),NCR1 LY94 NKP46,extracellular,NK,ILC1,ILC3,NCR+ ILC3,,,,,,,,,,,,,
NCR2,O95944,Natural cytotoxicity triggering receptor 2 (Lymphocyte antigen 95 homolog) (NK cell-activating receptor) (Natural killer cell p44-related protein) (NK-p44) (NKp44) (CD antigen CD336),NCR2 LY95 NKP44,extracellular,ILC1,NK,ILC3,NCR+ ILC3,,,,,,,,,,,,,
NCR3,O14931,Natural cytotoxicity triggering receptor 3 (Activating natural killer receptor p30) (Natural killer cell p30-related protein) (NK-p30) (NKp30) (CD antigen CD337),NCR3 1C7 LY117 NKP30,extracellular,NK,ILC1,ILC3,,,,,,,,,,,,,,
NECTIN2,Q92692,Nectin-2 (Herpes virus entry mediator B) (Herpesvirus entry mediator B) (HveB) (Nectin cell adhesion molecule 2) (Poliovirus receptor-related protein 2) (CD antigen CD112),NECTIN2 HVEB PRR2 PVRL2 CD112,extracellular,neutrophil,megakaryocyte,,,,,,,,,,,,,,,
NES,P48681,Nestin,NES Nbla00170 NESTIN,extracellular,neuron,,,,,,,,,,,,,,,,
NFIL3,Q16649,Nuclear factor interleukin-3-regulated protein (E4 promoter-binding protein 4) (Interleukin-3 promoter transcriptional activator) (Interleukin-3-binding protein 1) (Transcriptional activator NF-IL3A),NFIL3 E4BP4 IL3BP1 E4BP4,intracellular,NK,,,,,,,,,,,,,,,,
NFKB1,P19838,Nuclear factor NF-kappa-B p105 subunit (DNA-binding factor KBF1) (EBP-1) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1) [Cleaved into: Nuclear factor NF-kappa-B p50 subunit],NFKB1 NFKAPPAB,intracellular,germinal center B,,,,,,,,,,,,,,,,
NGFR,P08138,Tumor necrosis factor receptor superfamily member 16 (Gp80-LNGFR) (Low affinity neurotrophin receptor p75NTR) (Low-affinity nerve growth factor receptor) (NGF receptor) (p75 ICD) (CD antigen CD271),NGFR TNFRSF16 CD271,extracellular,neuron,,,,,,,,,,,,,,,,
NOS2,P35228,"Nitric oxide synthase, inducible (EC 1.14.13.39) (Hepatocyte NOS) (HEP-NOS) (Inducible NO synthase) (Inducible NOS) (iNOS) (NOS type II) (Peptidyl-cysteine S-nitrosylase NOS2)",NOS2 NOS2A INOS,intracellular,M1,m1 microglia,M2d,,,,,,,,,,,,,,
NRP1,O14786,Neuropilin-1 (Vascular endothelial cell growth factor 165 receptor) (CD antigen CD304),NRP1 NRP VEGF165R BDCA4,extracellular,,,,,,,,,,,,,,,,,
NRP1,O14786,Neuropilin-1 (Vascular endothelial cell growth factor 165 receptor) (CD antigen CD304),NRP1 NRP VEGF165R CD304 ,extracellular,pDC,Treg,neuron,,,,,,,,,,,,,,
NT5E,P21589,5'-nucleotidase (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (CD antigen CD73),NT5E NT5 NTE CD73,extracellular,Treg,,,,,,,,,,,,,,,,
PCBD2,Q9H0N5,Pterin-4-alpha-carbinolamine dehydratase 2 (PHS 2) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase 2) (DcoH-like protein DCoHm) (Dimerization cofactor of hepatocyte nuclear factor 1 from muscle) (HNF-1-alpha dimerization cofactor),PCBD2 DCOH2 DCOHM TCF1,intracellular,ILC2,ILC3,,,,,,,,,,,,,,,
PDCD1,Q15116,Programmed cell death protein 1 (Protein PD-1) (hPD-1) (CD antigen CD279),PDCD1 PD1 PD1,extracellular,follicular Th,,,,,,,,,,,,,,,,
PDCD1,Q15116,Programmed cell death protein 1 (Protein PD-1) (hPD-1) (CD antigen CD279),PDCD1 PD1 CD279,extracellular,follicular B,effector CD8 T,Tfh,,,,,,,,,,,,,,
PDCD1LG2,Q9BQ51,Programmed cell death 1 ligand 2 (PD-1 ligand 2) (PD-L2) (PDCD1 ligand 2) (Programmed death ligand 2) (Butyrophilin B7-DC) (B7-DC) (CD antigen CD273),PDCD1LG2 B7DC CD273 PDCD1L2 PDL2 CD273,extracellular,classical DC,tissue associated Mac,,,,,,,,,,,,,,,
PDGFRA,P16234,Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (CD140a antigen) (Platelet-derived growth factor alpha receptor) (Platelet-derived growth factor receptor 2) (PDGFR-2) (CD antigen CD140a),PDGFRA PDGFR2 RHEPDGFRA CD140A,extracellular,fibroblast,,,,,,,,,,,,,,,,
PDGFRB,P09619,Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b),PDGFRB PDGFR PDGFR1 CD140B,extracellular,fibroblast,,,,,,,,,,,,,,,,
PDPN,Q86YL7,Podoplanin (Aggrus) (Glycoprotein 36) (Gp36) (PA2.26 antigen) (T1-alpha) (T1A) [Cleaved into: 29kDa cytosolic podoplanin intracellular domain (PICD)],PDPN GP36 PSEC0003 PSEC0025 PODOPLANIN,extracellular,endothelial cells,,,,,,,,,,,,,,,,
PECAM1,P16284,Platelet endothelial cell adhesion molecule (PECAM-1) (EndoCAM) (GPIIA') (PECA1) (CD antigen CD31),PECAM1 CD31,extracellular,plasma B,platelet,endothelial cells,,,,,,,,,,,,,,
POU2AF1,Q16633,POU domain class 2-associating factor 1 (B-cell-specific coactivator OBF-1) (BOB-1) (OCA-B) (OCT-binding factor 1),POU2AF1 BOB1 OBF1 OBF1,intracellular,memory B,,,,,,,,,,,,,,,,
PRDM1,O75626,PR domain zinc finger protein 1 (EC 2.1.1.-) (BLIMP-1) (Beta-interferon gene positive regulatory domain I-binding factor) (PR domain-containing protein 1) (Positive regulatory domain I-binding factor 1) (PRDI-BF1) (PRDI-binding factor 1),PRDM1 BLIMP1 BLIMP1,intracellular,plasma B,,,,,,,,,,,,,,,,
PRF1,P14222,Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP),PRF1 PFP PERFORIN,secreted,effector memory CD8 T,effector CD8 T,NK,yd T ,,,,,,,,,,,,,
PRNP,P04156,Major prion protein (PrP) (ASCR) (PrP27-30) (PrP33-35C) (CD antigen CD230),PRNP ALTPRP PRIP PRP CD230,extracellular,neuron,,,,,,,,,,,,,,,,
PRNP,F7VJQ1,Alternative prion protein (AltPrP),PRNP ALTPRP PRIP PRP CD230,extracellular,neuron,,,,,,,,,,,,,,,,
PROM1,O43490,Prominin-1 (Antigen AC133) (Prominin-like protein 1) (CD antigen CD133),PROM1 PROML1 MSTP061 CD133,extracellular,epithelial,HSC,,,,,,,,,,,,,,,
PTGDR2,Q9Y5Y4,Prostaglandin D2 receptor 2 (Chemoattractant receptor-homologous molecule expressed on Th2 cells) (G-protein coupled receptor 44) (CD antigen CD294),PTGDR2 CRTH2 DL1R GPR44 CRTH2,extracellular,basophil,ILC2,,,,,,,,,,,,,,,
PTGDR2,Q9Y5Y4,Prostaglandin D2 receptor 2 (Chemoattractant receptor-homologous molecule expressed on Th2 cells) (G-protein coupled receptor 44) (CD antigen CD294),PTGDR2 CRTH2 DL1R GPR44 CD294,extracellular,basophil,ILC2,Th2,,,,,,,,,,,,,,
PTPRC,P08575,Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45),PTPRC CD45 CD45,extracellular,eosinophil,mast cell,neutrophil,ILC1,ILC2,NCR+ ILC3,NCR-ILC3,LTI,ILCreg,,,,,,,,
PTPRC,P08575,Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45),PTPRC CD45 CD45R,extracellular,follicular B,Marginal Zone B,germinal center B,CLP,GMP,naïve CD8 T,CMP,yd T ,central memory CD8 T,effector memory CD8 T,,,,,,,
PTPRJ,Q12913,Receptor-type tyrosine-protein phosphatase eta (Protein-tyrosine phosphatase eta) (R-PTP-eta) (EC 3.1.3.48) (Density-enhanced phosphatase 1) (DEP-1) (HPTP eta) (Protein-tyrosine phosphatase receptor type J) (R-PTP-J) (CD antigen CD148),PTPRJ DEP1 DEP1,extracellular,memory B,,,,,,,,,,,,,,,,
RBPJ,Q06330,Recombining binding protein suppressor of hairless (CBF-1) (J kappa-recombination signal-binding protein) (RBP-J kappa) (RBP-J) (RBP-JK) (Renal carcinoma antigen NY-REN-30),RBPJ IGKJRB IGKJRB1 RBPJK RBPSUH CBF1,intracellular,memory B,,,,,,,,,,,,,,,,
REL,Q04864,Proto-oncogene c-Rel,REL CREL,intracellular,Treg,,,,,,,,,,,,,,,,
RNASE2,P10153,Non-secretory ribonuclease (EC 4.6.1.18) (Eosinophil-derived neurotoxin) (RNase UpI-2) (Ribonuclease 2) (RNase 2) (Ribonuclease US),RNASE2 EDN RNS2 EDN,secreted,eosinophil,,,,,,,,,,,,,,,,
S100A9,P06702,Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9),S100A9 CAGB CFAG MRP14 CALPROTECTIN,extracellular,neutrophil,,,,,,,,,,,,,,,,
SCARB1,Q8WTV0,"Scavenger receptor class B member 1 (SRB1) (CD36 and LIMPII analogous 1) (CLA-1) (CD36 antigen-like 1) (Collagen type I receptor, thrombospondin receptor-like 1) (SR-BI) (CD antigen CD36)",SCARB1 CD36L1 CLA1 SRBI,extracellular,M2c,m2c microglia,,,,,,,,,,,,,,,
SDC1,P18827,Syndecan-1 (SYND1) (CD antigen CD138),SDC1 SDC CD138,extracellular,plasma B,,,,,,,,,,,,,,,,
SELE,P16581,E-selectin (CD62 antigen-like family member E) (Endothelial leukocyte adhesion molecule 1) (ELAM-1) (Leukocyte-endothelial cell adhesion molecule 2) (LECAM2) (CD antigen CD62E),SELE ELAM1 CD62E,extracellular,endothelial cells,,,,,,,,,,,,,,,,
SELL,P14151,L-selectin (CD62 antigen-like family member L) (Leukocyte adhesion molecule 1) (LAM-1) (Leukocyte surface antigen Leu-8) (Leukocyte-endothelial cell adhesion molecule 1) (LECAM1) (Lymph node homing receptor) (TQ1) (gp90-MEL) (CD antigen CD62L),SELL LNHR LYAM1 CD62L,extracellular,neutrophil,classical monocyte,intermediate monocyte,Treg,naïve CD8 T,central memory CD8 T,,,,,,,,,,,
SIGLEC1,Q9BZZ2,Sialoadhesin (Sialic acid-binding Ig-like lectin 1) (Siglec-1) (CD antigen CD169),SIGLEC1 SN CD169,extracellular,macrophage pan,,,,,,,,,,,,,,,,
SIRPA,P78324,Tyrosine-protein phosphatase non-receptor type substrate 1 (SHP substrate 1) (SHPS-1) (Brain Ig-like molecule with tyrosine-based activation motifs) (Bit) (CD172 antigen-like family member A) (Inhibitory receptor SHPS-1) (Macrophage fusion receptor) (MyD-1 antigen) (Signal-regulatory protein alpha-1) (Sirp-alpha-1) (Signal-regulatory protein alpha-2) (Sirp-alpha-2) (Signal-regulatory protein alpha-3) (Sirp-alpha-3) (p84) (CD antigen CD172a),SIRPA BIT MFR MYD1 PTPNS1 SHPS1 SIRP CD172A,extracellular,classical DC,inflammatory DC,dermal DC,monocyte,,,,,,,,,,,,,
SLAMF1,Q13291,Signaling lymphocytic activation molecule (CDw150) (IPO-3) (SLAM family member 1) (CD antigen CD150),SLAMF1 SLAM CD150,extracellular,follicular Th,M2c,,,,,,,,,,,,,,,
SLC1A2,P43004,Excitatory amino acid transporter 2 (Glutamate/aspartate transporter II) (Sodium-dependent glutamate/aspartate transporter 2) (Solute carrier family 1 member 2),SLC1A2 EAAT2 GLT1 EAAT2,,astrocyte,,,,,,,,,,,,,,,,
SLC1A3,P43003,Excitatory amino acid transporter 1 (Sodium-dependent glutamate/aspartate transporter 1) (GLAST-1) (Solute carrier family 1 member 3),SLC1A3 EAAT1 GLAST GLAST1 EAAT1,,astrocyte,,,,,,,,,,,,,,,,
SLC22A2,O15244,Solute carrier family 22 member 2 (Organic cation transporter 2) (hOCT2),SLC22A2 OCT2 44105,intracellular,Marginal Zone B,regulatory B,,,,,,,,,,,,,,,
SLC44A1,Q8WWI5,Choline transporter-like protein 1 (CDw92) (Solute carrier family 44 member 1) (CD antigen CD92),SLC44A1 CD92 CDW92 CTL1 CD92,extracellular,platelet,,,,,,,,,,,,,,,,
SPHK1,Q9NYA1,Sphingosine kinase 1 (SK 1) (SPK 1) (EC 2.7.1.91) (Acetyltransferase SPHK1) (EC 2.3.1.-),SPHK1 SK1 SPHK SPK SPHK1,intracellular,m2b microglia,m2c microglia,,,,,,,,,,,,,,,
SPHK2,Q9NRA0,Sphingosine kinase 2 (SK 2) (SPK 2) (EC 2.7.1.91),SPHK2 SK2 SPHK2,intracellular,m2b microglia,,,,,,,,,,,,,,,,
SPN,P16150,Leukosialin (GPL115) (Galactoglycoprotein) (GALGP) (Leukocyte sialoglycoprotein) (Sialophorin) (CD antigen CD43) [Cleaved into: CD43 cytoplasmic tail (CD43-ct) (CD43ct)],SPN CD43 CD43,extracellular,mast cell,neutrophil,basophil,eosinophil,,,,,,,,,,,,,
SRA1,Q9HD15,Steroid receptor RNA activator 1 (Steroid receptor RNA activator protein) (SRAP),SRA1 PP7684 SRAI,extracellular,M2c,m2a microglia,m2c microglia,,,,,,,,,,,,,,
ST6GAL1,P15907,"Beta-galactoside alpha-2,6-sialyltransferase 1 (Alpha 2,6-ST 1) (EC 2.4.99.1) (B-cell antigen CD75) (CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,6-sialyltransferase 1) (ST6Gal I) (ST6GalI) (Sialyltransferase 1)",ST6GAL1 SIAT1 CD75,extracellular,epithelial,,,,,,,,,,,,,,,,
STAT5A,P42229,Signal transducer and activator of transcription 5A,STAT5A STAT5 STAT5,intracellular,Th2,Treg,,,,,,,,,,,,,,,
TBX21,Q9UL17,T-box transcription factor TBX21 (T-box protein 21) (T-cell-specific T-box transcription factor T-bet) (Transcription factor TBLYM),TBX21 TBET TBLYM TBET,intracellular,Th1,NCR+ ILC3,effector CD8 T,ILC1,NK,central memory CD8 T,effector memory CD8 T,ILC3,,,,,,,,,
TCF3,P15923,Transcription factor E2-alpha (Class B basic helix-loop-helix protein 21) (bHLHb21) (Immunoglobulin enhancer-binding factor E12/E47) (Immunoglobulin transcription factor 1) (Kappa-E2-binding factor) (Transcription factor 3) (TCF-3) (Transcription factor ITF-1),TCF3 BHLHB21 E2A ITF1 E2A,intracellular,Marginal Zone B,regulatory B,,,,,,,,,,,,,,,
